id,question_id,choice_text,image_url,is_correct,sort_order
"e37d86fa-d2e9-5afd-ab94-79979a913ba4","4477be66-96da-5574-bc66-3678f8639cc0","ア：工業製品に関して，日本工業規格として定めたもの",,"false","1"
"165bfb76-cca6-519d-954b-41a8d66427b4","4477be66-96da-5574-bc66-3678f8639cc0","イ：工業や科学技術に関して，国際標準化機構が定めた規格",,"false","2"
"775482a7-5bb0-5371-abd3-8589fd3d5b03","4477be66-96da-5574-bc66-3678f8639cc0","ウ：特定の企業やグループなどが採用した仕様が広く利用されるようになり，事実上の業界標準になったもの",,"true","3"
"4fc3b239-84ae-53c7-9926-38a1dd77e0b2","4477be66-96da-5574-bc66-3678f8639cc0","エ：特定の国や地域，企業などに限られた基準ではなく，世界中どこでも適用される規格",,"false","4"
"86effbc9-59df-5b31-ad24-a27b25bf6f28","6e523d73-949d-5e95-8523-130f45271450","ア：生産工程の信頼性",,"false","1"
"ba314cd5-b8fe-5090-867c-b4d380beaac0","6e523d73-949d-5e95-8523-130f45271450","イ：製品の重量のばらつき",,"false","2"
"ce8a54b8-3857-52be-a23f-f25cd1cda7e6","6e523d73-949d-5e95-8523-130f45271450","ウ：品質不良の要因ごとの構成比率",,"true","3"
"e8063441-396c-5de6-992c-e83ac8cd9561","6e523d73-949d-5e95-8523-130f45271450","エ：二つの変動要素の間の関係",,"false","4"
"52e1762e-e2b2-5bb7-baf7-f92d054a8882","5dc27fe9-c432-57ad-8a07-37e3ebb536e9","ア：原材料の使用量を減らすとともに, 消費電力を少なくした製品を提供する。",,"true","1"
"e0c7b7e3-15b5-5f4b-87ff-ea77d3d3b934","5dc27fe9-c432-57ad-8a07-37e3ebb536e9","イ：自社製品に新しい機能を付加し, 他社製品と差別化した製品を提供する。",,"false","2"
"e743cbcf-754c-5b95-bec7-f8d516e9a52d","5dc27fe9-c432-57ad-8a07-37e3ebb536e9","ウ：セル生産方式を導入し, 市場の多様なニーズに合わせた製品を提供する。",,"false","3"
"14bd9370-910d-5616-876c-e67d360027d9","5dc27fe9-c432-57ad-8a07-37e3ebb536e9","エ：他企業の買収によって, 自社がもっていなかった製品を提供する。",,"false","4"
"fdb4671d-6d05-54b8-86df-30843d435399","b3398ac5-0205-5dd6-b9dc-05c71789c962","ア：顧客に応じた商品の推薦",,"true","1"
