id,source_key,exam_date,subject_id,question_number,question_text,question_type,image_url,explanation,difficulty,points,explanation_ja,explanation_en,explanation_vi
"4477be66-96da-5574-bc66-3678f8639cc0","ip-quiz-v1:2009h21a-q001","2009-10-01","cc000001-0000-0000-0000-000000000001","1","デファクトスタンダードの意味として，最も適切なものはどれか。","multiple_choice",,,"2","1",,,
"6e523d73-949d-5e95-8523-130f45271450","ip-quiz-v1:2009h21a-q002","2009-10-01","cc000001-0000-0000-0000-000000000001","2","パレート図の使用が最も適切である分析対象はどれか。","multiple_choice",,,"2","1",,,
"5dc27fe9-c432-57ad-8a07-37e3ebb536e9","ip-quiz-v1:2009h21a-q003","2009-10-01","cc000001-0000-0000-0000-000000000001","3","CSRに基づいた活動として, 最も適切なものはどれか。","multiple_choice",,,"2","1",,,
"b3398ac5-0205-5dd6-b9dc-05c71789c962","ip-quiz-v1:2009h21a-q004","2009-10-01","cc000001-0000-0000-0000-000000000001","4","データマイニングとは，データベースに蓄積されている大量の生データに対し，統計やパターン認識などの手法を用いることによって，認識されていなかった規則性や関係性を導き出す技術である。データマイニングの応用分野として，最も適切なものはどれか。","multiple_choice",,,"2","1",,,
"e13e42f7-378d-5b7d-ad1a-beb5f2bb23d3","ip-quiz-v1:2009h21a-q005","2009-10-01","cc000001-0000-0000-0000-000000000001","5","複数の企業がアライアンスによって連携して活動する際に, 軽減が期待できるリス . クとして, 最も適切なものはどれか。","multiple_choice",,,"2","1",,,
"5c1412b5-9caa-5814-ab8e-eda58ef33efa","ip-quiz-v1:2009h21a-q006","2009-10-01","cc000001-0000-0000-0000-000000000001","6","ハウジングサービスについて説明したものはどれか。","multiple_choice",,,"2","1",,,
"31e63ed5-bffa-5862-9789-8c94e6abe3b1","ip-quiz-v1:2009h21a-q007","2009-10-01","cc000001-0000-0000-0000-000000000001","7","一定期間ごとに最適量を発注する方式を定期発注方式という。 この定期発注方式で購買品を調達するに当たり, 発注サイクルを 10 日, 納入リードタイムを 5 日, 1 日の平均消費量を 50 個, 安全在庫量を 30 個とした場合, 今回の発注量は幾らか。ここで, 発注は, 発注日の消費終了後に行うものとし, 今回の発注時点での在庫量は 300 個で, 発注残はないものとする。","multiple_choice",,,"2","1",,,
"29267191-bbab-501e-a621-08ea203e6b68","ip-quiz-v1:2009h21a-q008","2009-10-01","cc000001-0000-0000-0000-000000000001","8","ファブレスを説明したものはどれか。               「","multiple_choice",,,"2","1",,,
"23c4e095-9f4f-592f-aac7-21b2ef83e680","ip-quiz-v1:2009h21a-q009","2009-10-01","cc000001-0000-0000-0000-000000000001","9","2 人又はそれ以上の上司から指揮命令を受けるが, プロジェクトの目的別管理と職 能部門の職能的資任との調和を図る組織構造はどれか。","multiple_choice",,,"2","1",,,
"6ee4156a-c8f9-5e90-992d-1b560dad9971","ip-quiz-v1:2009h21a-q010","2009-10-01","cc000001-0000-0000-0000-000000000001","10","キャッシュフローの増加要因となるものはどれか。","multiple_choice",,,"2","1",,,
"bbd0cabc-ede3-5398-bb8d-84c2e79b44b6","ip-quiz-v1:2009h21a-q011","2009-10-01","cc000001-0000-0000-0000-000000000001","11","インターネットなどのネットワークを介してコンピュータを利用する場合において，不正アクセス禁止法で禁止されている行為はどれか。","multiple_choice",,,"2","1",,,
"9be72153-95ca-5f75-a0e5-c3304a8b0279","ip-quiz-v1:2009h21a-q012","2009-10-01","cc000001-0000-0000-0000-000000000001","12","A 社では企業理念に基づいてビジネス戦略を策定し実行するための手順を考えた。
重要成功要因の抽出, ビジネス環境の分析, ビジネス戦略の立案, ビジョンの設定を 図のように順序付けて行うとき, 図の④で行うものはどれか。
［図］ ① → ② → ③ → ④ → 実行計画策定","multiple_choice","/quiz-figures/2009h21a-q012.webp",,"2","1",,,
"6e07b2eb-f209-58fb-a5d2-b8b19161e0e0","ip-quiz-v1:2009h21a-q013","2009-10-01","cc000001-0000-0000-0000-000000000001","13","損益計算資料から求められる損益分岐点となる売上高は何百万円か。

〔損益計算資料〕　単位 百万円

| 項目 | 金額 |
|---|---|
| 売上高 | 400 |
| 材料費（変動費） | 140 |
| 外注費（変動費） | 100 |
| 製造固定費 | 100 |
| 粗利益 | 60 |
| 販売固定費 | 20 |
| 営業利益 | 40 |","multiple_choice","/quiz-figures/2009h21a-q013.webp",,"2","1",,,
"e7de2e03-56f9-5bd3-b35d-5016ba5638ea","ip-quiz-v1:2009h21a-q014","2009-10-01","cc000003-0000-0000-0000-000000000001","14","業務で利用するデータの構造を分析し, 抽出したエンティティとエンティティ問の 関係を E-R 図などで整理する手法はどれか。","multiple_choice",,,"2","1",,,
"d96b24c6-5523-5f07-b506-4604dae7f48a","ip-quiz-v1:2009h21a-q015","2009-10-01","cc000001-0000-0000-0000-000000000001","15","CRMの導入効果として, 最も適切なものはどれか。","multiple_choice",,,"2","1",,,
"97bbd038-b592-5901-bc94-118713b23cf3","ip-quiz-v1:2009h21a-q016","2009-10-01","cc000001-0000-0000-0000-000000000001","16","SWOT 分析で把握できるものはどれか。
、","multiple_choice",,,"2","1",,,
